"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"28","Acanthochaetetes_wellsi",43.4571890145396,45.2342487883683,46.5266558966074,43.2956381260097
"29","Acanthocybium_solandri",31.3730475844533,31.4347984017436,31.4856520159826,32.1358517980385
"30","Acanthodendrilla_australis",43.2835820895522,54.4776119402985,54.4776119402985,34.3283582089552
"31","Acanthogorgia_spinosa",37.6470588235294,50,49.4117647058824,35.2941176470588
"32","Acanthophora_spicifera",45.2127659574468,45.6686930091185,47.112462006079,43.7689969604863
"33","Acanthopleura_gemmata",45.4203262233375,46.1731493099122,46.2986198243413,45.5457967377666
"34","Acanthopleura_spinosa",51.8691588785047,51.8691588785047,51.7133956386293,50
"35","Acanthosphex_leurynnis",49.002493765586,49.7506234413965,50.3740648379052,47.6309226932668
"36","Acanthosquilla_derijardi",46.9109195402299,47.3419540229885,49.2097701149425,46.0488505747126
"37","Acanthosquilla_multifasciata",47.2289156626506,47.0481927710843,48.433734939759,46.5060240963855
"38","Acanthurus_achilles",45.4162276080084,44.9947312961012,46.9968387776607,43.7302423603793
"39","Acanthurus_albipectoralis",37.2972972972973,40.5405405405405,40.2702702702703,35.6756756756757
"40","Acanthurus_auranticavus",48.643216080402,50.1507537688442,50.5527638190955,46.9346733668342
"41","Acanthurus_blochii",47.6576576576577,48.4684684684685,50,46.1261261261261
"42","Acanthurus_dussumieri",46.1480362537764,47.8851963746224,49.2447129909366,46.2235649546828
"43","Acanthurus_fowleri",53.1437125748503,52.0958083832335,52.0958083832335,51.1976047904192
"44","Acanthurus_grammoptilus",57.396449704142,58.5798816568047,60.3550295857988,58.5798816568047
"45","Acanthurus_guttatus",47.6868327402135,47.6868327402135,48.576512455516,44.3950177935943
"46","Acanthurus_japonicus",50.2732240437158,50.4098360655738,50.2732240437158,47.8142076502732
"47","Acanthurus_leucopareius",46.081208687441,47.3087818696884,48.1586402266289,45.6090651558074
"48","Acanthurus_lineatus",45.2815226011102,46.5503568596352,47.8191911181602,43.9333862014274
"49","Acanthurus_maculiceps",50.6787330316742,48.868778280543,50.2262443438914,49.2081447963801
"50","Acanthurus_mata",45.440956651719,46.7862481315396,48.5799701046338,44.3946188340807
"51","Acanthurus_nigricans",45.8240946045824,46.119733924612,47.5979305247598,44.4937176644494
"52","Acanthurus_nigricauda",47.9052823315118,48.5428051001822,49.8178506375228,46.6302367941712
"53","Acanthurus_nigrofuscus",45.1981707317073,45.8079268292683,47.3323170731707,43.9786585365854
"54","Acanthurus_nigroris",48.5035211267606,48.4154929577465,49.4718309859155,47.1830985915493
"55","Acanthurus_nubilus",46.5332380271623,45.746962115797,47.1765546819157,44.6032880629021
"56","Acanthurus_olivaceus",46.8649517684887,47.1864951768489,48.4726688102894,45.5787781350482
"57","Acanthurus_pyroferus",46.796875,47.03125,48.203125,45.3125
"58","Acanthurus_thompsoni",48.3739837398374,48.130081300813,49.6747967479675,46.9918699186992
"59","Acanthurus_triostegus",45.2296819787986,45.8657243816254,47.5618374558304,44.452296819788
"60","Acanthurus_xanthopterus",45.0674237047551,45.9900638750887,47.8353442157559,44.4286728176011
"61","Acar_domingensis",48.1848184818482,48.7623762376238,51.0726072607261,47.9372937293729
"62","Acar_plicata",45.2739726027397,46.2328767123288,48.0821917808219,45.2054794520548
"63","Acarnus_caledoniensis",38.2716049382716,46.9135802469136,45.679012345679,37.037037037037
"64","Acartia_danae",46.4028776978417,48.9208633093525,53.2374100719424,46.4028776978417
"65","Acartia_negligens",100,100,100,100
"66","Acasta_conica",50.4091653027823,51.227495908347,53.1914893617021,49.2635024549918
"67","Acasta_cyathus",46.3431305536569,45.8646616541353,47.4367737525632,45.0444292549556
"68","Acasta_echinata",49.9323410013532,50.3382949932341,50.744248985115,48.9851150202977
"69","Acasta_fenestrata",47.9437229437229,49.025974025974,50,46.5367965367965
"70","Acasta_japonica",51.4231499051233,51.9924098671727,53.3206831119545,50.1897533206831
"71","Acasta_purpurata",49.7695852534562,52.073732718894,50.6912442396313,48.3870967741936
"72","Acaudina_molpadioides",50.5592841163311,50.1118568232662,52.3489932885906,49.1051454138702
"73","Accalathura_themeda",34.2245989304813,45.9893048128342,45.4545454545455,34.2245989304813
"74","Acentrogobius_janthinopterus",48.9820359281437,50.059880239521,51.0179640718563,46.8263473053892
"75","Acentrogobius_moloanus",49.5684340320592,50.308261405672,51.1713933415536,46.9790382244143
"76","Acentrogobius_nebulosus",49.5212038303694,50.2051983584131,50.4787961696306,47.469220246238
"77","Acentrogobius_suluensis",50.7142857142857,51.1428571428571,50.4285714285714,47.7142857142857
"78","Acentronura_breviperula",48.4095427435388,49.9005964214712,50,46.9184890656064
"79","Acesta_rathbuni",50.3825136612022,49.9453551912568,51.9125683060109,49.5081967213115
"80","Achaeus_curvirostris",52.5069637883008,52.924791086351,55.0139275766017,52.0891364902507
"81","Achaeus_lacertosus",50.415512465374,50.5540166204986,50.8310249307479,46.398891966759
"82","Achelia_assimilis",47.1953578336557,47.3887814313346,49.0006447453256,46.5506125080593
"83","Achelia_besnardi",50.2197802197802,50.5494505494505,51.4285714285714,48.3516483516484
"84","Achelia_nana",45.8267716535433,47.7952755905512,48.5826771653543,45.4330708661417
"85","Achelia_sawayai",45.6981664315938,45.8392101551481,47.672778561354,44.5698166431594
