"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4168","Hypsicomus_phaeotenia",59.9216710182768,68.1462140992167,65.6657963446475,68.9295039164491,66.1879895561358,67.1018276762402
"4169","Hyrtios_erectus",69.4402420574887,71.6338880484115,67.7760968229955,73.9788199697428,70.1210287443268,72.1633888048411
"4170","Hyrtios_reticulatus",74.9658002735978,75.6497948016416,67.7154582763338,76.4705882352941,69.7674418604651,75.2393980848153
"4171","Ianthella_basta",58.4722222222222,70.1388888888889,62.9166666666667,68.0555555555556,66.3888888888889,66.9444444444444
"4172","Iasis_cylindrica",47.3977177845811,49.9721681046479,52.28221541887,47.9543556916226,43.0281102143056,53.799053715558
"4173","Ibacus_pubescens",63.2352941176471,70.2614379084967,67.156862745098,71.7320261437908,67.156862745098,73.5294117647059
"4174","Ibla_cumingi",63.0252100840336,71.1884753901561,63.9855942376951,71.4285714285714,67.4669867947179,69.6278511404562
"4175","Icelopagurus_crosnieri",77.7777777777778,69.9275362318841,70.2898550724638,72.463768115942,66.1835748792271,76.0265700483092
"4176","Icelopagurus_undulatus",92.8217821782178,90.8415841584158,75.2475247524752,90.3465346534654,86.8811881188119,87.6237623762376
"4177","Ichthyapus_vulturis",72.0064724919094,72.6537216828479,69.57928802589,75.4854368932039,71.0355987055016,75.6472491909385
"4178","Ichthyococcus_elongatus",100,90.1234567901235,100,86.4197530864197,83.9506172839506,94.4444444444444
"4179","Ichthyococcus_intermedius",46.3049695362043,49.1358229369586,52.3065445351681,51.1874663240353,46.8437849711941,52.5096365068181
"4180","Ichthyococcus_ovatus",49.224003198488,45.0514302329808,53.2620942827027,48.4171119107331,45.0187184240177,51.4265983353324
"4181","Ichthyscopus_sannio",66.6666666666667,83.3333333333333,100,100,83.3333333333333,100
"4182","Icilius_caledoniana",94.3478260869565,92.1739130434783,74.3478260869565,89.5652173913044,87.3913043478261,86.5217391304348
"4183","Idiacanthus_antrostomus",77.8705636743215,85.1774530271399,78.2881002087683,90.6054279749478,79.1231732776618,86.2212943632568
"4184","Idiacanthus_fasciola",50.084462256964,50.833029710841,54.8143486469478,52.4957768871518,48.0209333907456,54.264515915339
"4185","Idiellana_pristis",62.564632885212,71.0444674250258,64.6328852119959,70.2171664943123,67.3216132368149,68.7693898655636
"4186","Idiolychnus_urolampus",86.5269461077844,73.0538922155689,86.5269461077844,81.7365269461078,73.9520958083832,82.6347305389222
"4187","Ilisha_filigera",58.8772845953003,69.1906005221932,63.0548302872063,69.7127937336815,66.9712793733681,67.1018276762402
"4188","Ilyograpsus_paludicola",59.0236686390532,69.6745562130178,63.0177514792899,69.6745562130178,66.8639053254438,68.0473372781065
"4189","Imbricaria_conovula",74.8663101604278,73.2620320855615,68.270944741533,76.2923351158645,69.5187165775401,75.9358288770053
"4190","Imbricaria_conularis",67.3431734317343,73.0627306273063,65.4981549815498,72.5092250922509,68.450184501845,71.5867158671587
"4191","Imbricaria_olivaeformis",67.8881388621022,72.6133076181292,64.9951783992285,73.3847637415622,69.4310511089682,71.4561234329798
