"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"18","Acanthaster_planci",66.7396061269147,64.1137855579869,50.7658643326039,43.7636761487965,60.9773887673231
"19","Acanthastrea_echinata",66.0977501939488,63.1497284716835,51.1249030256012,43.289371605896,59.8138091543832
"20","Acanthastrea_ishigakiensis",62.9594721960415,60.6974552309142,45.7115928369463,44.2978322337418,53.2516493873704
"21","Acanthaxius_miyazakiensis",59.8230088495575,62.6548672566372,47.4336283185841,48.3185840707965,54.6902654867257
"22","Acanthaxius_spinosissimus",60.2150537634409,57.3924731182796,58.6021505376344,47.1774193548387,59.2741935483871
"23","Acanthella_cavernosa",62.1041879468846,60.367722165475,45.9652706843718,45.3524004085802,53.4218590398366
"24","Acanthella_costata",58.978102189781,59.5620437956204,50.9489051094891,47.007299270073,50.8029197080292
"25","Acanthephyra_eximia",56.7850753897265,62.1603202998552,47.9001618536502,38.8278388278388,57.832864809609
"26","Acanthephyra_quadrispinosa",50.9099852434825,55.6812592228234,45.2533202164289,51.6478111165765,49.9754058042302
"27","Acanthephyra_smithi",37.9066086268302,36.1377127028097,39.9010684606252,49.1175306687772,37.9145231499802
"28","Acanthochaetetes_wellsi",65.4281098546042,66.3974151857835,47.3344103392569,40.2261712439418,54.6042003231018
"29","Acanthocybium_solandri",40.9480566654559,40.3922993098438,43.1856156919724,50.7628042135852,41.2931347620777
"30","Acanthodendrilla_australis",61.9402985074627,93.2835820895522,36.5671641791045,33.5820895522388,35.0746268656716
"31","Acanthogorgia_spinosa",79.4117647058823,92.3529411764706,35.2941176470588,34.1176470588235,52.3529411764706
"32","Acanthophora_spicifera",66.1854103343465,63.4498480243161,51.3677811550152,43.693009118541,60.4103343465046
"33","Acanthopleura_gemmata",65.1191969887077,58.3437892095358,52.0702634880803,43.9146800501882,58.0928481806775
"34","Acanthopleura_spinosa",55.4517133956386,52.803738317757,46.417445482866,49.5327102803738,49.6884735202492
"35","Acanthosphex_leurynnis",62.3441396508728,53.8653366583541,45.0124688279302,46.2593516209476,51.9950124688279
"36","Acanthosquilla_derijardi",63.7931034482759,63.6494252873563,48.9224137931034,45.9051724137931,59.698275862069
"37","Acanthosquilla_multifasciata",61.9277108433735,65.0602409638554,50,45,60.421686746988
"38","Acanthurus_achilles",66.2802950474183,67.5447839831401,55.7428872497366,43.0979978925184,61.6438356164384
"39","Acanthurus_albipectoralis",83.5135135135135,86.7567567567568,41.6216216216216,32.4324324324324,65.945945945946
"40","Acanthurus_auranticavus",61.4070351758794,62.9145728643216,45.6281407035176,45.929648241206,54.4723618090452
"41","Acanthurus_blochii",61.981981981982,63.0630630630631,45.7657657657658,45.2252252252252,56.3063063063063
"42","Acanthurus_dussumieri",63.595166163142,63.2930513595166,46.3746223564955,44.7129909365559,57.02416918429
"43","Acanthurus_fowleri",59.8802395209581,56.5868263473054,48.6526946107784,47.0059880239521,53.2934131736527
"44","Acanthurus_grammoptilus",83.4319526627219,61.5384615384615,70.414201183432,39.6449704142012,59.1715976331361
"45","Acanthurus_guttatus",62.4555160142349,63.2562277580071,49.1103202846975,45.1957295373665,58.8078291814947
"46","Acanthurus_japonicus",59.9726775956284,51.5027322404372,46.1748633879781,46.5846994535519,49.5901639344262
"47","Acanthurus_leucopareius",64.494806421152,67.5165250236072,51.8413597733711,41.5486307837583,60.3399433427762
"48","Acanthurus_lineatus",65.979381443299,63.2038065027756,50.9119746233148,43.9333862014274,60.1110229976209
"49","Acanthurus_maculiceps",57.3529411764706,56.1085972850679,47.8506787330317,47.737556561086,56.3348416289593
"50","Acanthurus_mata",66.3677130044843,63.3034379671151,49.7757847533632,43.423019431988,59.49177877429
"51","Acanthurus_nigricans",65.7058388765706,63.1189948263119,49.519586104952,43.4589800443459,60.0147819660015
"52","Acanthurus_nigricauda",61.0200364298725,63.1147540983607,46.3570127504554,45.3551912568306,56.4663023679417
"53","Acanthurus_nigrofuscus",66.0823170731707,63.4146341463415,51.3719512195122,43.5213414634146,60.3658536585366
"54","Acanthurus_nigroris",61.7077464788732,64.2605633802817,48.5035211267606,45.0704225352113,58.1866197183099
"55","Acanthurus_nubilus",65.6897784131523,67.3338098641887,52.2516082916369,44.1029306647605,63.3309506790565
"56","Acanthurus_olivaceus",63.3440514469453,61.7363344051447,45.7395498392283,44.3729903536978,56.7524115755627
"57","Acanthurus_pyroferus",64.6875,63.75,49.21875,44.6875,60.546875
