"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"25","Acanthephyra_eximia",36.6896669222251,35.8463242184172,35.8974358974359,30.8970099667774,36.7322599880739
"26","Acanthephyra_quadrispinosa",47.7619281849484,39.3999016232169,39.1539596655189,40.2852926709297,39.2031480570585
"27","Acanthephyra_smithi",31.1673921646221,30,31.3494261970716,36.2366442421844,31.610605461021
"28","Acanthochaetetes_wellsi",52.5040387722132,50.0807754442649,56.0581583198708,48.7883683360258,53.3117932148627
"29","Acanthocybium_solandri",31.2277515437704,31.107882310207,32.3428986560116,36.5165274246277,30.7700690156193
"30","Acanthodendrilla_australis",48.5074626865672,53.7313432835821,38.0597014925373,47.0149253731343,35.0746268656716
"31","Acanthogorgia_spinosa",62.3529411764706,61.7647058823529,56.4705882352941,54.7058823529412,51.1764705882353
"32","Acanthophora_spicifera",51.9756838905775,45.9726443768997,49.468085106383,44.7568389057751,44.8328267477204
"33","Acanthopleura_gemmata",56.2107904642409,47.3023839397742,49.6863237139272,46.4240903387704,46.0476787954831
"34","Acanthopleura_spinosa",47.8193146417445,41.1214953271028,43.4579439252336,48.2866043613707,38.1619937694704
"35","Acanthosphex_leurynnis",47.1321695760599,39.6508728179551,41.5211970074813,43.0174563591022,37.9052369077307
"36","Acanthosquilla_derijardi",49.4252873563218,44.3247126436782,47.3419540229885,45.0431034482759,44.3965517241379
"37","Acanthosquilla_multifasciata",50.5421686746988,46.6265060240964,46.5060240963855,46.0843373493976,44.0963855421687
"38","Acanthurus_achilles",57.218124341412,53.740779768177,56.7966280295047,50.6849315068493,52.3709167544784
"39","Acanthurus_albipectoralis",66.2162162162162,60.5405405405405,59.7297297297297,47.5675675675676,55.9459459459459
"40","Acanthurus_auranticavus",51.9597989949749,46.8341708542714,46.8341708542714,47.1356783919598,45.1256281407035
"41","Acanthurus_blochii",51.2612612612613,46.3963963963964,47.6576576576577,46.7567567567568,45.4054054054054
"42","Acanthurus_dussumieri",49.1691842900302,44.4108761329305,45.7703927492447,43.7311178247734,43.8066465256798
"43","Acanthurus_fowleri",50.4491017964072,40.1197604790419,44.1616766467066,43.7125748502994,40.7185628742515
"44","Acanthurus_grammoptilus",84.6153846153846,45.5621301775148,76.3313609467456,47.9289940828402,62.1301775147929
"45","Acanthurus_guttatus",50.8896797153025,46.44128113879,49.5551601423488,49.1992882562278,46.1743772241993
"46","Acanthurus_japonicus",48.0874316939891,39.8907103825137,42.7595628415301,45.4918032786885,37.8415300546448
"47","Acanthurus_leucopareius",53.4466477809254,50.8026440037772,54.0132200188857,49.1973559962229,51.5580736543909
"48","Acanthurus_lineatus",52.101506740682,46.3124504361618,49.7224425059477,45.360824742268,45.1229183187946
"49","Acanthurus_maculiceps",46.9457013574661,41.8552036199095,45.4751131221719,45.4751131221719,44.2307692307692
